Textbox70,Textbox69
Location:,12 - CD-CHARLESTON

MenuItemName,Cost1,AvgPrice1,Profit1,Textbox35,TargetMargin1,Textbox43,PriceNeeded1,Location,Cost,AvgPrice,Profit,ProfitPercent,TargetMargin,Variance,PriceNeeded
CD-CHARLESTON - XTRA RACK RIBS,2.49,12.50,10.01,80.0 %,0.0 %,80.0 %,2.49,CD-CHARLESTON,2.49,12.50,10.01,80.0 %,0.0 %,80.0 %,2.49
CD-CHARLESTON - KNOB HILL CHICKEN,3.65,16.95,13.30,78.4 %,0.0 %,78.4 %,3.65,CD-CHARLESTON,3.65,16.95,13.30,78.4 %,0.0 %,78.4 %,3.65
CD-CHARLESTON - SHE CRAB SOUP,2.11,7.95,5.84,73.5 %,0.0 %,73.5 %,2.11,CD-CHARLESTON,2.11,7.95,5.84,73.5 %,0.0 %,73.5 %,2.11
CD-CHARLESTON - SEAFOOD NACHOS,6.21,14.95,8.74,58.5 %,0.0 %,58.5 %,6.21,CD-CHARLESTON,6.21,14.95,8.74,58.5 %,0.0 %,58.5 %,6.21
CD-CHARLESTON - ADD 5 LG SHRIMP,0.91,4.95,4.04,81.6 %,0.0 %,81.6 %,0.91,CD-CHARLESTON,0.91,4.95,4.04,81.6 %,0.0 %,81.6 %,0.91
CD-CHARLESTON - H COLD,0.14,0.00,-0.14,-13.6 %,0.0 %,-13.6 %,0.14,CD-CHARLESTON,0.14,0.00,-0.14,-13.6 %,0.0 %,-13.6 %,0.14
CD-CHARLESTON - SPIN NACHO,2.59,10.95,8.36,76.3 %,0.0 %,76.3 %,2.59,CD-CHARLESTON,2.59,10.95,8.36,76.3 %,0.0 %,76.3 %,2.59
CD-CHARLESTON - SPIN,0.63,0.00,-0.63,-63.3 %,0.0 %,-63.3 %,0.63,CD-CHARLESTON,0.63,0.00,-0.63,-63.3 %,0.0 %,-63.3 %,0.63
CD-CHARLESTON - ADD LG SHRIMP,0.16,1.25,1.09,87.3 %,0.0 %,87.3 %,0.16,CD-CHARLESTON,0.16,1.25,1.09,87.3 %,0.0 %,87.3 %,0.16
CD-CHARLESTON - RAM OF ICE CREAM,0.26,0.06,-0.20,-334.7 %,0.0 %,-334.7 %,0.26,CD-CHARLESTON,0.26,0.06,-0.20,-334.7 %,0.0 %,-334.7 %,0.26
CD-CHARLESTON - PINE JUICE,0.20,3.00,2.80,93.5 %,0.0 %,93.5 %,0.20,CD-CHARLESTON,0.20,3.00,2.80,93.5 %,0.0 %,93.5 %,0.20
CD-CHARLESTON - BREAD PUDDING W RUM SAUCE,1.30,7.95,6.65,83.6 %,0.0 %,83.6 %,1.30,CD-CHARLESTON,1.30,7.95,6.65,83.6 %,0.0 %,83.6 %,1.30
CD-CHARLESTON - ADD CHEDDAR SLICE,0.21,0.75,0.54,71.4 %,0.0 %,71.4 %,0.21,CD-CHARLESTON,0.21,0.75,0.54,71.4 %,0.0 %,71.4 %,0.21
CD-CHARLESTON - SAUTEED SPINACH,0.67,3.75,3.08,82.1 %,0.0 %,82.1 %,0.67,CD-CHARLESTON,0.67,3.75,3.08,82.1 %,0.0 %,82.1 %,0.67
CD-CHARLESTON - ADD CHICKEN,1.38,6.95,5.57,80.1 %,0.0 %,80.1 %,1.38,CD-CHARLESTON,1.38,6.95,5.57,80.1 %,0.0 %,80.1 %,1.38
CD-CHARLESTON - KID DOG,1.82,4.95,3.13,63.2 %,0.0 %,63.2 %,1.82,CD-CHARLESTON,1.82,4.95,3.13,63.2 %,0.0 %,63.2 %,1.82
CD-CHARLESTON - BBQ CHICKEN NACHOS,3.47,11.42,7.95,69.6 %,0.0 %,69.6 %,3.47,CD-CHARLESTON,3.47,11.42,7.95,69.6 %,0.0 %,69.6 %,3.47
CD-CHARLESTON - HSE-XT,0.15,0.00,-0.15,-15.4 %,0.0 %,-15.4 %,0.15,CD-CHARLESTON,0.15,0.00,-0.15,-15.4 %,0.0 %,-15.4 %,0.15
CD-CHARLESTON - CRMY SLAW,0.19,0.00,-0.19,-19.1 %,0.0 %,-19.1 %,0.19,CD-CHARLESTON,0.19,0.00,-0.19,-19.1 %,0.0 %,-19.1 %,0.19
CD-CHARLESTON - BROILED CHICKEN CAESAR SA,2.30,12.95,10.65,82.2 %,0.0 %,82.2 %,2.30,CD-CHARLESTON,2.30,12.95,10.65,82.2 %,0.0 %,82.2 %,2.30
CD-CHARLESTON - P&E 1/2 LB,2.72,9.95,7.23,72.7 %,0.0 %,72.7 %,2.72,CD-CHARLESTON,2.72,9.95,7.23,72.7 %,0.0 %,72.7 %,2.72
CD-CHARLESTON - SHRIMP PO-BOY,1.67,14.95,13.28,88.8 %,0.0 %,88.8 %,1.67,CD-CHARLESTON,1.67,14.95,13.28,88.8 %,0.0 %,88.8 %,1.67
CD-CHARLESTON - & DIET COKE,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79,CD-CHARLESTON,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79
CD-CHARLESTON - CALIFORNIA DREAMING SALAD,2.71,12.95,10.24,79.1 %,0.0 %,79.1 %,2.71,CD-CHARLESTON,2.71,12.95,10.24,79.1 %,0.0 %,79.1 %,2.71
CD-CHARLESTON - ADD SMALL SHRIMP 10,0.74,6.95,6.21,89.4 %,0.0 %,89.4 %,0.74,CD-CHARLESTON,0.74,6.95,6.21,89.4 %,0.0 %,89.4 %,0.74
CD-CHARLESTON - VEGGIE BURGER,4.01,12.95,8.94,69.0 %,0.0 %,69.0 %,4.01,CD-CHARLESTON,4.01,12.95,8.94,69.0 %,0.0 %,69.0 %,4.01
CD-CHARLESTON - & GINGER,0.78,0.00,-0.78,-78.5 %,0.0 %,-78.5 %,0.78,CD-CHARLESTON,0.78,0.00,-0.78,-78.5 %,0.0 %,-78.5 %,0.78
CD-CHARLESTON - KID PASTA MEAL,1.53,4.95,3.42,69.0 %,0.0 %,69.0 %,1.53,CD-CHARLESTON,1.53,4.95,3.42,69.0 %,0.0 %,69.0 %,1.53
CD-CHARLESTON - SHRIMP TACOS,3.87,11.75,7.88,67.0 %,0.0 %,67.0 %,3.87,CD-CHARLESTON,3.87,11.75,7.88,67.0 %,0.0 %,67.0 %,3.87
CD-CHARLESTON - ADD BACON SLICES,0.47,1.00,0.53,52.9 %,0.0 %,52.9 %,0.47,CD-CHARLESTON,0.47,1.00,0.53,52.9 %,0.0 %,52.9 %,0.47
CD-CHARLESTON - X-HONEYBUTTER,0.43,0.00,-0.43,-42.9 %,0.0 %,-42.9 %,0.43,CD-CHARLESTON,0.43,0.00,-0.43,-42.9 %,0.0 %,-42.9 %,0.43
CD-CHARLESTON - COWBOY STEAK,13.88,33.95,20.07,59.1 %,0.0 %,59.1 %,13.88,CD-CHARLESTON,13.88,33.95,20.07,59.1 %,0.0 %,59.1 %,13.88
CD-CHARLESTON - KID MAC,1.21,4.95,3.74,75.5 %,0.0 %,75.5 %,1.21,CD-CHARLESTON,1.21,4.95,3.74,75.5 %,0.0 %,75.5 %,1.21
CD-CHARLESTON - BSK FRIES,0.54,3.75,3.21,85.7 %,0.0 %,85.7 %,0.54,CD-CHARLESTON,0.54,3.75,3.21,85.7 %,0.0 %,85.7 %,0.54
CD-CHARLESTON - TRAY CROISSANTS,3.94,25.00,21.06,84.2 %,0.0 %,84.2 %,3.94,CD-CHARLESTON,3.94,25.00,21.06,84.2 %,0.0 %,84.2 %,3.94
CD-CHARLESTON - COFFEE,0.25,3.00,2.75,91.6 %,0.0 %,91.6 %,0.25,CD-CHARLESTON,0.25,3.00,2.75,91.6 %,0.0 %,91.6 %,0.25
CD-CHARLESTON - BL QUART,6.16,7.95,1.79,22.5 %,0.0 %,22.5 %,6.16,CD-CHARLESTON,6.16,7.95,1.79,22.5 %,0.0 %,22.5 %,6.16
CD-CHARLESTON - & CRANBERRY JUICE,0.35,0.00,-0.35,-34.6 %,0.0 %,-34.6 %,0.35,CD-CHARLESTON,0.35,0.00,-0.35,-34.6 %,0.0 %,-34.6 %,0.35
CD-CHARLESTON - BBQ CHICKEN,3.29,15.95,12.66,79.3 %,0.0 %,79.3 %,3.29,CD-CHARLESTON,3.29,15.95,12.66,79.3 %,0.0 %,79.3 %,3.29
CD-CHARLESTON - BASKET CHIPS,0.19,0.95,0.76,79.8 %,0.0 %,79.8 %,0.19,CD-CHARLESTON,0.19,0.95,0.76,79.8 %,0.0 %,79.8 %,0.19
CD-CHARLESTON - MARINATED SIRLOIN 10OZ CH,5.71,19.95,14.24,71.4 %,0.0 %,71.4 %,5.71,CD-CHARLESTON,5.71,19.95,14.24,71.4 %,0.0 %,71.4 %,5.71
CD-CHARLESTON - ADD POTATO TOPPING,0.34,1.50,1.16,77.1 %,0.0 %,77.1 %,0.34,CD-CHARLESTON,0.34,1.50,1.16,77.1 %,0.0 %,77.1 %,0.34
CD-CHARLESTON - NEW YORK STRIP 14OZ CHOIC,10.42,29.95,19.53,65.2 %,0.0 %,65.2 %,10.42,CD-CHARLESTON,10.42,29.95,19.53,65.2 %,0.0 %,65.2 %,10.42
CD-CHARLESTON - KIDS CHIC,1.42,5.50,4.08,74.1 %,0.0 %,74.1 %,1.42,CD-CHARLESTON,1.42,5.50,4.08,74.1 %,0.0 %,74.1 %,1.42
CD-CHARLESTON - KID CHOC MILK,0.45,0.00,-0.45,-44.8 %,0.0 %,-44.8 %,0.45,CD-CHARLESTON,0.45,0.00,-0.45,-44.8 %,0.0 %,-44.8 %,0.45
CD-CHARLESTON - FRIED SHRIMP & OYSTER COM,4.13,19.95,15.82,79.3 %,0.0 %,79.3 %,4.13,CD-CHARLESTON,4.13,19.95,15.82,79.3 %,0.0 %,79.3 %,4.13

